Temperature (K),Grain Size (nm),Fe %,Ni %,Cr %,Co %,Cu %,Strain Rate (Strain/ps),Young's Modulus (GPa),Yield Strength (MPa),Ultimate Tensile Strength (MPa)
200,17.2,0.1,0.225,0.225,0.225,0.225,0.004,165,3304,5396
200,17.2,0.12,0.22,0.22,0.22,0.22,0.004,164,3410,5168
200,17.2,0.14,0.215,0.215,0.215,0.215,0.004,161,3593,5281
200,17.2,0.16,0.21,0.21,0.21,0.21,0.004,155,3970,5425
200,17.2,0.18,0.205,0.205,0.205,0.205,0.004,162,3420,5392
200,17.2,0.2,0.2,0.2,0.2,0.2,0.004,161,3659,5348
200,17.2,0.22,0.195,0.195,0.195,0.195,0.004,157,3709,5415
200,17.2,0.24,0.19,0.19,0.19,0.19,0.004,157,3783,5495
200,17.2,0.26,0.185,0.185,0.185,0.185,0.004,159,3494,5476
200,17.2,0.28,0.18,0.18,0.18,0.18,0.004,157,3514,5518
200,17.2,0.3,0.175,0.175,0.175,0.175,0.004,156,3368,5501
200,17.2,0.225,0.1,0.225,0.225,0.225,0.004,147,3823,5176
200,17.2,0.22,0.12,0.22,0.22,0.22,0.004,155,3279,5252
200,17.2,0.215,0.14,0.215,0.215,0.215,0.004,155,3418,5273
200,17.2,0.21,0.16,0.21,0.21,0.21,0.004,157,3570,5451
200,17.2,0.205,0.18,0.205,0.205,0.205,0.004,163,3325,5410
200,17.2,0.195,0.22,0.195,0.195,0.195,0.004,160,3654,5430
200,17.2,0.19,0.24,0.19,0.19,0.19,0.004,162,3563,5651
200,17.2,0.185,0.26,0.185,0.185,0.185,0.004,164,3740,5593
200,17.2,0.18,0.28,0.18,0.18,0.18,0.004,162,3963,5510
200,17.2,0.175,0.3,0.175,0.175,0.175,0.004,165,3700,5458
200,17.2,0.225,0.225,0.1,0.225,0.225,0.004,157,3532,5357
200,17.2,0.22,0.22,0.12,0.22,0.22,0.004,160,3394,5487
200,17.2,0.215,0.215,0.14,0.215,0.215,0.004,158,3650,5325
200,17.2,0.21,0.21,0.16,0.21,0.21,0.004,157,3633,5568
200,17.2,0.205,0.205,0.18,0.205,0.205,0.004,156,3862,5290
200,17.2,0.195,0.195,0.22,0.195,0.195,0.004,156,3731,5271
200,17.2,0.19,0.19,0.24,0.19,0.19,0.004,164,3402,5525
200,17.2,0.185,0.185,0.26,0.185,0.185,0.004,158,3733,5388
200,17.2,0.18,0.18,0.28,0.18,0.18,0.004,158,3852,5402
200,17.2,0.175,0.175,0.3,0.175,0.175,0.004,161,3429,5336
200,17.2,0.225,0.225,0.225,0.1,0.225,0.004,159,3375,5588
200,17.2,0.22,0.22,0.22,0.12,0.22,0.004,156,3741,5430
200,17.2,0.215,0.215,0.215,0.14,0.215,0.004,157,3461,5485
200,17.2,0.21,0.21,0.21,0.16,0.21,0.004,155,3901,5468
200,17.2,0.205,0.205,0.205,0.18,0.205,0.004,160,3457,5539
200,17.2,0.195,0.195,0.195,0.22,0.195,0.004,165,3369,5295
200,17.2,0.19,0.19,0.19,0.24,0.19,0.004,162,3493,5312
200,17.2,0.185,0.185,0.185,0.26,0.185,0.004,161,3477,5353
200,17.2,0.18,0.18,0.18,0.28,0.18,0.004,165,3485,5328
200,17.2,0.175,0.175,0.175,0.3,0.175,0.004,157,3875,5085
200,17.2,0.225,0.225,0.225,0.225,0.1,0.004,169,3519,5552
200,17.2,0.22,0.22,0.22,0.22,0.12,0.004,161,4184,5370
200,17.2,0.215,0.215,0.215,0.215,0.14,0.004,162,3813,5707
200,17.2,0.21,0.21,0.21,0.21,0.16,0.004,161,3684,5626
200,17.2,0.205,0.205,0.205,0.205,0.18,0.004,163,3509,5297
200,17.2,0.195,0.195,0.195,0.195,0.22,0.004,162,3422,5412
200,17.2,0.19,0.19,0.19,0.19,0.24,0.004,156,3610,5506
200,17.2,0.185,0.185,0.185,0.185,0.26,0.004,153,3671,5314
200,17.2,0.18,0.18,0.18,0.18,0.28,0.004,149,3593,5487
200,17.2,0.175,0.175,0.175,0.175,0.3,0.004,149,3580,5300
200,14.3,0.1,0.225,0.225,0.225,0.225,0.004,136,2936,5046
200,14.3,0.12,0.22,0.22,0.22,0.22,0.004,134,3001,5176
200,14.3,0.14,0.215,0.215,0.215,0.215,0.004,134,3156,5070
200,14.3,0.16,0.21,0.21,0.21,0.21,0.004,129,3147,5249
200,14.3,0.18,0.205,0.205,0.205,0.205,0.004,132,3078,5112
200,14.3,0.2,0.2,0.2,0.2,0.2,0.004,130,3127,5053
200,14.3,0.22,0.195,0.195,0.195,0.195,0.004,132,3009,5133
200,14.3,0.24,0.19,0.19,0.19,0.19,0.004,132,2961,5192
200,14.3,0.26,0.185,0.185,0.185,0.185,0.004,128,3434,5202
200,14.3,0.28,0.18,0.18,0.18,0.18,0.004,128,3228,5208
200,14.3,0.3,0.175,0.175,0.175,0.175,0.004,128,3311,5396
200,14.3,0.225,0.1,0.225,0.225,0.225,0.004,122,3360,5096
200,14.3,0.22,0.12,0.22,0.22,0.22,0.004,122,3181,4960
200,14.3,0.215,0.14,0.215,0.215,0.215,0.004,123,3202,5028
200,14.3,0.21,0.16,0.21,0.21,0.21,0.004,129,3159,5067
200,14.3,0.205,0.18,0.205,0.205,0.205,0.004,133,2831,5146
200,14.3,0.195,0.22,0.195,0.195,0.195,0.004,131,3242,5278
200,14.3,0.19,0.24,0.19,0.19,0.19,0.004,140,3080,5413
200,14.3,0.185,0.26,0.185,0.185,0.185,0.004,135,3131,5328
200,14.3,0.18,0.28,0.18,0.18,0.18,0.004,137,3131,5482
200,14.3,0.175,0.3,0.175,0.175,0.175,0.004,141,3047,5440
200,14.3,0.225,0.225,0.1,0.225,0.225,0.004,131,3246,5338
200,14.3,0.22,0.22,0.12,0.22,0.22,0.004,131,3005,5119
200,14.3,0.215,0.215,0.14,0.215,0.215,0.004,132,3003,5140
200,14.3,0.21,0.21,0.16,0.21,0.21,0.004,131,3135,5143
200,14.3,0.205,0.205,0.18,0.205,0.205,0.004,134,2949,5376
200,14.3,0.195,0.195,0.22,0.195,0.195,0.004,134,2907,5136
200,14.3,0.19,0.19,0.24,0.19,0.19,0.004,133,3198,5224
200,14.3,0.185,0.185,0.26,0.185,0.185,0.004,136,2779,5097
200,14.3,0.18,0.18,0.28,0.18,0.18,0.004,130,3118,5158
200,14.3,0.175,0.175,0.3,0.175,0.175,0.004,135,2825,5191
200,14.3,0.225,0.225,0.225,0.1,0.225,0.004,135,2814,5387
200,14.3,0.22,0.22,0.22,0.12,0.22,0.004,130,3028,5481
200,14.3,0.215,0.215,0.215,0.14,0.215,0.004,129,3266,5307
200,14.3,0.21,0.21,0.21,0.16,0.21,0.004,130,3225,5313
200,14.3,0.205,0.205,0.205,0.18,0.205,0.004,130,3215,5289
200,14.3,0.195,0.195,0.195,0.22,0.195,0.004,131,3038,5192
200,14.3,0.19,0.19,0.19,0.24,0.19,0.004,134,2996,5078
200,14.3,0.185,0.185,0.185,0.26,0.185,0.004,133,3029,5127
200,14.3,0.18,0.18,0.18,0.28,0.18,0.004,129,3311,4991
200,14.3,0.175,0.175,0.175,0.3,0.175,0.004,134,3055,4938
200,14.3,0.225,0.225,0.225,0.225,0.1,0.004,144,3114,5421
200,14.3,0.22,0.22,0.22,0.22,0.12,0.004,137,3391,5231
200,14.3,0.215,0.215,0.215,0.215,0.14,0.004,138,3098,5198
200,14.3,0.21,0.21,0.21,0.21,0.16,0.004,134,3253,5322
200,14.3,0.205,0.205,0.205,0.205,0.18,0.004,134,3101,5201
200,14.3,0.195,0.195,0.195,0.195,0.22,0.004,130,3211,5003
200,14.3,0.19,0.19,0.19,0.19,0.24,0.004,130,3023,5081
200,14.3,0.185,0.185,0.185,0.185,0.26,0.004,124,3222,5195
200,14.3,0.18,0.18,0.18,0.18,0.28,0.004,124,3109,5099
200,14.3,0.175,0.175,0.175,0.175,0.3,0.004,120,3179,4947
200,12.6,0.1,0.225,0.225,0.225,0.225,0.004,126,2975,4878
200,12.6,0.12,0.22,0.22,0.22,0.22,0.004,126,3041,4847
200,12.6,0.14,0.215,0.215,0.215,0.215,0.004,129,2940,4895
200,12.6,0.16,0.21,0.21,0.21,0.21,0.004,124,3131,4939
200,12.6,0.18,0.205,0.205,0.205,0.205,0.004,124,3078,4947
200,12.6,0.2,0.2,0.2,0.2,0.2,0.004,125,3059,4929
200,12.6,0.22,0.195,0.195,0.195,0.195,0.004,125,3043,5122
200,12.6,0.24,0.19,0.19,0.19,0.19,0.004,124,2985,4913
200,12.6,0.26,0.185,0.185,0.185,0.185,0.004,125,2947,4933
200,12.6,0.28,0.18,0.18,0.18,0.18,0.004,125,3137,4934
200,12.6,0.3,0.175,0.175,0.175,0.175,0.004,126,2770,5121
200,12.6,0.225,0.1,0.225,0.225,0.225,0.004,120,2682,4867
200,12.6,0.22,0.12,0.22,0.22,0.22,0.004,120,3017,4827
200,12.6,0.215,0.14,0.215,0.215,0.215,0.004,123,2938,4783
200,12.6,0.21,0.16,0.21,0.21,0.21,0.004,122,2979,4951
200,12.6,0.205,0.18,0.205,0.205,0.205,0.004,125,2989,5110
200,12.6,0.195,0.22,0.195,0.195,0.195,0.004,128,3064,5172
200,12.6,0.19,0.24,0.19,0.19,0.19,0.004,131,2879,4899
200,12.6,0.185,0.26,0.185,0.185,0.185,0.004,129,3103,5187
200,12.6,0.18,0.28,0.18,0.18,0.18,0.004,135,2851,5315
200,12.6,0.175,0.3,0.175,0.175,0.175,0.004,136,2888,5207
200,12.6,0.225,0.225,0.1,0.225,0.225,0.004,126,2936,5095
200,12.6,0.22,0.22,0.12,0.22,0.22,0.004,127,2837,5046
200,12.6,0.215,0.215,0.14,0.215,0.215,0.004,124,3029,4982
200,12.6,0.21,0.21,0.16,0.21,0.21,0.004,125,2953,4928
200,12.6,0.205,0.205,0.18,0.205,0.205,0.004,128,2872,5101
200,12.6,0.195,0.195,0.22,0.195,0.195,0.004,123,2963,5069
200,12.6,0.19,0.19,0.24,0.19,0.19,0.004,129,2781,4900
200,12.6,0.185,0.185,0.26,0.185,0.185,0.004,129,2890,5037
200,12.6,0.18,0.18,0.28,0.18,0.18,0.004,124,2965,4917
200,12.6,0.175,0.175,0.3,0.175,0.175,0.004,127,2887,4915
200,12.6,0.225,0.225,0.225,0.1,0.225,0.004,126,2965,5237
200,12.6,0.22,0.22,0.22,0.12,0.22,0.004,126,2919,5082
200,12.6,0.215,0.215,0.215,0.14,0.215,0.004,127,2990,5167
200,12.6,0.21,0.21,0.21,0.16,0.21,0.004,128,2760,5104
200,12.6,0.205,0.205,0.205,0.18,0.205,0.004,127,3056,4987
200,12.6,0.195,0.195,0.195,0.22,0.195,0.004,127,2829,4958
200,12.6,0.19,0.19,0.19,0.24,0.19,0.004,126,2879,4986
200,12.6,0.185,0.185,0.185,0.26,0.185,0.004,128,2912,4932
200,12.6,0.18,0.18,0.18,0.28,0.18,0.004,129,3105,4756
200,12.6,0.175,0.175,0.175,0.3,0.175,0.004,125,2958,4835
200,12.6,0.225,0.225,0.225,0.225,0.1,0.004,132,3168,5058
200,12.6,0.22,0.22,0.22,0.22,0.12,0.004,132,2974,4971
200,12.6,0.215,0.215,0.215,0.215,0.14,0.004,133,2827,4932
200,12.6,0.21,0.21,0.21,0.21,0.16,0.004,128,3069,5036
200,12.6,0.205,0.205,0.205,0.205,0.18,0.004,127,3099,5036
200,12.6,0.195,0.195,0.195,0.195,0.22,0.004,126,2921,4976
200,12.6,0.19,0.19,0.19,0.19,0.24,0.004,122,2925,4946
200,12.6,0.185,0.185,0.185,0.185,0.26,0.004,124,2870,4906
200,12.6,0.18,0.18,0.18,0.18,0.28,0.004,121,2920,5033
200,12.6,0.175,0.175,0.175,0.175,0.3,0.004,124,2680,4785
300,17.2,0.1,0.225,0.225,0.225,0.225,0.004,159,3607,5237
300,17.2,0.12,0.22,0.22,0.22,0.22,0.004,162,3354,5172
300,17.2,0.14,0.215,0.215,0.215,0.215,0.004,156,3793,5301
300,17.2,0.16,0.21,0.21,0.21,0.21,0.004,158,3663,5150
300,17.2,0.18,0.205,0.205,0.205,0.205,0.004,162,3305,5166
300,17.2,0.2,0.2,0.2,0.2,0.2,0.004,153,3749,5232
300,17.2,0.22,0.195,0.195,0.195,0.195,0.004,152,3784,5433
300,17.2,0.24,0.19,0.19,0.19,0.19,0.004,155,3601,5419
300,17.2,0.26,0.185,0.185,0.185,0.185,0.004,156,3550,5318
300,17.2,0.28,0.18,0.18,0.18,0.18,0.004,157,3271,5208
300,17.2,0.3,0.175,0.175,0.175,0.175,0.004,152,3701,5284
300,17.2,0.225,0.1,0.225,0.225,0.225,0.004,149,3462,5060
300,17.2,0.22,0.12,0.22,0.22,0.22,0.004,154,3311,5097
300,17.2,0.215,0.14,0.215,0.215,0.215,0.004,155,3285,5116
300,17.2,0.21,0.16,0.21,0.21,0.21,0.004,152,3606,5158
300,17.2,0.205,0.18,0.205,0.205,0.205,0.004,150,3800,5288
300,17.2,0.195,0.22,0.195,0.195,0.195,0.004,157,3647,5257
300,17.2,0.19,0.24,0.19,0.19,0.19,0.004,157,3769,5244
300,17.2,0.185,0.26,0.185,0.185,0.185,0.004,164,3477,5333
300,17.2,0.18,0.28,0.18,0.18,0.18,0.004,167,3606,5573
300,17.2,0.175,0.3,0.175,0.175,0.175,0.004,162,3682,5302
300,17.2,0.225,0.225,0.1,0.225,0.225,0.004,157,3393,5154
300,17.2,0.22,0.22,0.12,0.22,0.22,0.004,159,3254,5251
300,17.2,0.215,0.215,0.14,0.215,0.215,0.004,157,3394,5363
300,17.2,0.21,0.21,0.16,0.21,0.21,0.004,159,3377,5267
300,17.2,0.205,0.205,0.18,0.205,0.205,0.004,156,3564,5400
300,17.2,0.195,0.195,0.22,0.195,0.195,0.004,158,3468,5171
300,17.2,0.19,0.19,0.24,0.19,0.19,0.004,162,3371,5077
300,17.2,0.185,0.185,0.26,0.185,0.185,0.004,157,3643,5256
300,17.2,0.18,0.18,0.28,0.18,0.18,0.004,157,3567,5204
300,17.2,0.175,0.175,0.3,0.175,0.175,0.004,154,3694,5130
300,17.2,0.225,0.225,0.225,0.1,0.225,0.004,158,3172,5364
300,17.2,0.22,0.22,0.22,0.12,0.22,0.004,159,3362,5498
300,17.2,0.215,0.215,0.215,0.14,0.215,0.004,152,3767,5325
300,17.2,0.21,0.21,0.21,0.16,0.21,0.004,155,3723,5459
300,17.2,0.205,0.205,0.205,0.18,0.205,0.004,151,3740,5238
300,17.2,0.195,0.195,0.195,0.22,0.195,0.004,158,3488,5098
300,17.2,0.19,0.19,0.19,0.24,0.19,0.004,158,3654,5220
300,17.2,0.185,0.185,0.185,0.26,0.185,0.004,161,3412,5313
300,17.2,0.18,0.18,0.18,0.28,0.18,0.004,158,3598,5011
300,17.2,0.175,0.175,0.175,0.3,0.175,0.004,157,3704,5132
300,17.2,0.225,0.225,0.225,0.225,0.1,0.004,166,3591,5372
300,17.2,0.22,0.22,0.22,0.22,0.12,0.004,163,3602,5225
300,17.2,0.215,0.215,0.215,0.215,0.14,0.004,162,3633,5318
300,17.2,0.21,0.21,0.21,0.21,0.16,0.004,162,3492,5254
300,17.2,0.205,0.205,0.205,0.205,0.18,0.004,158,3597,5288
300,17.2,0.195,0.195,0.195,0.195,0.22,0.004,156,3417,5252
300,17.2,0.19,0.19,0.19,0.19,0.24,0.004,155,3469,5364
300,17.2,0.185,0.185,0.185,0.185,0.26,0.004,154,3371,5217
300,17.2,0.18,0.18,0.18,0.18,0.28,0.004,148,3545,5139
300,17.2,0.175,0.175,0.175,0.175,0.3,0.004,150,3239,5021
300,14.3,0.1,0.225,0.225,0.225,0.225,0.004,131,3191,4883
300,14.3,0.12,0.22,0.22,0.22,0.22,0.004,132,2861,4878
300,14.3,0.14,0.215,0.215,0.215,0.215,0.004,132,3055,5036
300,14.3,0.16,0.21,0.21,0.21,0.21,0.004,133,2818,4973
300,14.3,0.18,0.205,0.205,0.205,0.205,0.004,130,3070,4975
300,14.3,0.2,0.2,0.2,0.2,0.2,0.004,129,3145,4962
300,14.3,0.22,0.195,0.195,0.195,0.195,0.004,129,3042,5106
300,14.3,0.24,0.19,0.19,0.19,0.19,0.004,129,2997,5043
300,14.3,0.26,0.185,0.185,0.185,0.185,0.004,127,3194,4982
300,14.3,0.28,0.18,0.18,0.18,0.18,0.004,126,3082,5117
300,14.3,0.3,0.175,0.175,0.175,0.175,0.004,128,3031,5077
300,14.3,0.225,0.1,0.225,0.225,0.225,0.004,121,3175,4883
